"indiv.1","indiv.2","mean.overlap","mean.distance","group","type","group.size","experiment.type"
"982126058484339","982126957845238",0.408792496060165,1.01516125155733,"GM10","vuelo grupos mixtos",5,"Artificial"
"900200000279820","982126051278491",0.466350189105723,1.16817281220992,"GM11","vuelo grupos mixtos",5,"Artificial"
"900200000279820","982126051278540",0.241316103570047,2.47473660471707,"GM11","vuelo grupos mixtos",5,"Artificial"
"900200000279820","982126057846201",0.130420116952635,2.36067558974801,"GM11","vuelo grupos mixtos",5,"Artificial"
"900200000279820","982126057846216",0.173147121718244,2.21200003705122,"GM11","vuelo grupos mixtos",5,"Artificial"
"982126051278491","982126051278540",0.358531786708225,1.47292763721085,"GM11","vuelo grupos mixtos",5,"Artificial"
"982126051278491","982126057846201",0.185268035746698,2.36971260003061,"GM11","vuelo grupos mixtos",5,"Artificial"
"982126051278491","982126057846216",0.381217763282795,1.39324832007883,"GM11","vuelo grupos mixtos",5,"Artificial"
"982126051278540","982126057846201",0.135216269532435,2.73003042698716,"GM11","vuelo grupos mixtos",5,"Artificial"
"982126051278540","982126057846216",0.313460927043062,1.51659580276454,"GM11","vuelo grupos mixtos",5,"Artificial"
"982126057846201","982126057846216",0.00734706894616482,3.54230376767038,"GM11","vuelo grupos mixtos",5,"Artificial"
"982000359237615","982126057846204",0.142307504522484,1.25154076786676,"GM15","vuelo grupos mixtos",3,"Artificial"
"982000359237615","982126058484287",0.213721188642611,2.78489603624608,"GM15","vuelo grupos mixtos",3,"Artificial"
"982126057846204","982126058484287",0.218966376710832,2.34626017814518,"GM15","vuelo grupos mixtos",3,"Artificial"
"982126051278504","982126058484254",0.112552330429032,2.7307857798892,"GM16","vuelo grupos mixtos",2,"Artificial"
"982126051278548","982126057846225",0.46489332690508,0.990842454608298,"GM17","vuelo grupos mixtos",5,"Artificial"
"982126051278548","982126058484267",0.277549736827076,1.61609220896453,"GM17","vuelo grupos mixtos",5,"Artificial"
"982126051278548","982126058484302",0.161551833245667,1.88003162332537,"GM17","vuelo grupos mixtos",5,"Artificial"
"982126051278548","982126957845238",0.303691741416683,2.09322490510368,"GM17","vuelo grupos mixtos",5,"Artificial"
"982126057846225","982126058484267",0.21846105789742,1.89724427681844,"GM17","vuelo grupos mixtos",5,"Artificial"
"982126057846225","982126058484302",0.0748165017985232,2.67489892531174,"GM17","vuelo grupos mixtos",5,"Artificial"
"982126057846225","982126957845238",0.360355248235248,2.11156255530622,"GM17","vuelo grupos mixtos",5,"Artificial"
"982126058484267","982126058484302",0.370258885889403,1.50214756600136,"GM17","vuelo grupos mixtos",5,"Artificial"
"982126058484267","982126957845238",0.46432947769967,0.821792184236555,"GM17","vuelo grupos mixtos",5,"Artificial"
"982126058484302","982126957845238",0.0963475860526869,2.17770612520381,"GM17","vuelo grupos mixtos",5,"Artificial"
